"Name","GPS","DateTime","NO2","O3_1hr","O3_4hr","O3_8hr","CO","PM10 1 hr","PM2.5 1 hr","PM10","PM2.5","AQI_CO","AQI_NO2","AQI_O3_1hr","AQI_O3_4hr","AQI_O3_8hr","AQI_PM10","AQI_PM2.5","AQI_Site","Date","Time"
"Monash","(-35.418302, 149.094018)","31/07/2022 11:00:00 PM","0.007","0.016","0.011","0.014","0.19","11.3","11.5","26.9","24.5","2","9","16","13","22","54","98","98","31 July 2022","23:00"
"Florey","(-35.220606, 149.0435)","31/07/2022 11:00:00 PM","0.009","0.001","0","0.003","0.57","21.4","24","26.6","24.4","6","11","1","0",,"53","98","98","31 July 2022","23:00"
"Civic","(-35.285399, 149.131536)","31/07/2022 11:00:00 PM",,"0.004","0.007","0.01",,"14.7","11.1","9.9","9",,,"4","8","15","20","36","36","31 July 2022","23:00"
"Civic","(-35.285399, 149.131536)","31/07/2022 10:00:00 PM",,"0.007","0.008","0.012",,"15.3","11.7","10.2","9",,,"7","10","19","20","36","36","31 July 2022","22:00"
"Monash","(-35.418302, 149.094018)","31/07/2022 10:00:00 PM","0.009","0.014","0.01","0.015","0.18","14.3","12.7","28.6","25.9","2","11","14","13","23","57","103","103","31 July 2022","22:00"
"Florey","(-35.220606, 149.0435)","31/07/2022 10:00:00 PM","0.011","0","0.001","0.006","0.48","16.2","21.4","27.7","25.4","5","14","0","1",,"55","101","101","31 July 2022","22:00"
"Civic","(-35.285399, 149.131536)","31/07/2022 09:00:00 PM",,"0.008","0.01","0.014",,"16.9","10.8","10.3","9",,,"8","13","22","21","36","36","31 July 2022","21:00"
"Florey","(-35.220606, 149.0435)","31/07/2022 09:00:00 PM","0.013","0","0.002","0.008","0.4","11.9","29.2","28.6","26.4","4","16","0","3",,"57","105","105","31 July 2022","21:00"
"Monash","(-35.418302, 149.094018)","31/07/2022 09:00:00 PM","0.016","0.005","0.012","0.016","0.15","18.5","11.8","29.8","27","2","20","5","14","25","60","108","108","31 July 2022","21:00"
"Civic","(-35.285399, 149.131536)","31/07/2022 08:00:00 PM",,"0.008","0.013","0.016",,"10.8","11.1","10.5","9",,,"8","16","25","21","36","36","31 July 2022","20:00"
"Florey","(-35.220606, 149.0435)","31/07/2022 08:00:00 PM","0.016","0","0.005","0.012","0.35","9.7","16.8","29.2","26.6","4","20","0","6",,"58","106","106","31 July 2022","20:00"
"Monash","(-35.418302, 149.094018)","31/07/2022 08:00:00 PM","0.016","0.007","0.016","0.017","0.13","11","7.8","30.4","27.7","1","20","7","20","27","61","111","111","31 July 2022","20:00"
"Civic","(-35.285399, 149.131536)","31/07/2022 07:00:00 PM",,"0.009","0.014","0.017",,"9.2","11.2","11.1","9",,,"9","18","26","22","36","36","31 July 2022","19:00"
"Monash","(-35.418302, 149.094018)","31/07/2022 07:00:00 PM","0.008","0.015","0.019","0.018","0.13","7","0.6","31.2","28.3","1","10","15","23","27","62","113","113","31 July 2022","19:00"
"Florey","(-35.220606, 149.0435)","31/07/2022 07:00:00 PM","0.015","0.002","0.007","0.014","0.33","12.8","-1","29.5","26.8","4","19","2","8",,"59","107","107","31 July 2022","19:00"
"Florey","(-35.220606, 149.0435)","31/07/2022 06:00:00 PM","0.011","0.007","0.012","0.015","0.37","9.4","11.9","29.4","27.3","4","14","7","15",,"59","109","109","31 July 2022","18:00"
"Civic","(-35.285399, 149.131536)","31/07/2022 06:00:00 PM",,"0.016","0.018","0.017",,"8.8","10.3","11.4","8.8",,,"16","23","27","23","35","35","31 July 2022","18:00"
"Monash","(-35.418302, 149.094018)","31/07/2022 06:00:00 PM","0.005","0.019","0.021","0.017","0.15","-3.6","-5.6","31.6","28.7","2","6","19","27","26","63","115","115","31 July 2022","18:00"
"Monash","(-35.418302, 149.094018)","31/07/2022 05:00:00 PM","0.004","0.022","0.023","0.015","0.2","-4.4","-9.7","31.9","29","2","5","22","28","23","64","116","116","31 July 2022","17:00"
"Florey","(-35.220606, 149.0435)","31/07/2022 05:00:00 PM","0.009","0.011","0.017","0.014","0.41","8.2","13.2","29.1","27.3","5","11","11","21",,"58","109","109","31 July 2022","17:00"
"Civic","(-35.285399, 149.131536)","31/07/2022 05:00:00 PM",,"0.018","0.02","0.016",,"10.3","7.8","11.4","8.5",,,"18","25","25","23","34","34","31 July 2022","17:00"
"Civic","(-35.285399, 149.131536)","31/07/2022 04:00:00 PM",,,"0.021","0.015",,"10.7","8.7","11.2","8.3",,,,"26","23","22","33","33","31 July 2022","16:00"
"Florey","(-35.220606, 149.0435)","31/07/2022 04:00:00 PM",,,"0.021","0.013","0.5","10.3","9.3","28.9","26.9","6",,,"26",,"58","107","107","31 July 2022","16:00"
"Monash","(-35.418302, 149.094018)","31/07/2022 04:00:00 PM",,,"0.019","0.012","0.32","3.5","1","32.2","29.5","4",,,"24","18","64","118","118","31 July 2022","16:00"
"Civic","(-35.285399, 149.131536)","31/07/2022 03:00:00 PM",,"0.02","0.019","0.014",,"13.5","9.1","11.1","8.1",,,"20","24","22","22","33","33","31 July 2022","15:00"
"Florey","(-35.220606, 149.0435)","31/07/2022 03:00:00 PM","0.004","0.019","0.02","0.012","0.56","13.1","5.7","28.5","26.6","6","5","19","25",,"57","106","106","31 July 2022","15:00"
"Monash","(-35.418302, 149.094018)","31/07/2022 03:00:00 PM","0.004","0.023","0.017","0.011","0.4","9","-2","32.2","29.3","4","5","23","21","17","64","117","117","31 July 2022","15:00"
"Monash","(-35.418302, 149.094018)","31/07/2022 02:00:00 PM","0.004","0.023","0.013","0.008","0.5","19.8","8.4","31.9","29.1","6","5","23","17","13","64","116","116","31 July 2022","14:00"
"Florey","(-35.220606, 149.0435)","31/07/2022 02:00:00 PM","0.005","0.02","0.017","0.009","0.66","11.3","8.7","28.1","26.4","7","6","20","21",,"56","106","106","31 July 2022","14:00"
"Civic","(-35.285399, 149.131536)","31/07/2022 02:00:00 PM",,"0.021","0.017","0.012",,"14.6","8.9","10.8","8",,,"21","21","19","22","32","32","31 July 2022","14:00"
"Florey","(-35.220606, 149.0435)","31/07/2022 01:00:00 PM","0.004","0.023","0.013","0.007","0.74","12.7","0.4","27.8","26.1","8","5","23","16",,"56","104","104","31 July 2022","13:00"
"Civic","(-35.285399, 149.131536)","31/07/2022 01:00:00 PM",,"0.022","0.014","0.011",,"7.3","9.8","10.5","7.9",,,"22","17","17","21","32","32","31 July 2022","13:00"
"Monash","(-35.418302, 149.094018)","31/07/2022 01:00:00 PM","0.013","0.012","0.009","0.006","0.61","11.8","18.9","31.1","28.6","7","16","12","11","9","62","115","115","31 July 2022","13:00"
"Florey","(-35.220606, 149.0435)","31/07/2022 12:00:00 PM","0.007","0.018","0.007","0.004","0.84","17.6","19.4","27.4","26.2","9","9","18","9",,"55","105","105","31 July 2022","12:00"
"Civic","(-35.285399, 149.131536)","31/07/2022 12:00:00 PM",,"0.014","0.011","0.009",,"6.9","10.9","10.3","7.7",,,"14","13","14","21","31","31","31 July 2022","12:00"
"Monash","(-35.418302, 149.094018)","31/07/2022 12:00:00 PM","0.012","0.01","0.007","0.005","0.7","16","22.3","30.8","27.8","8","15","10","8","7","62","111","111","31 July 2022","12:00"
"Florey","(-35.220606, 149.0435)","31/07/2022 11:00:00 AM","0.014","0.006","0.003","0.002","0.99","28.8","26.3","26.9","25.5","11","18","6","4",,"54","102","102","31 July 2022","11:00"
"Monash","(-35.418302, 149.094018)","31/07/2022 11:00:00 AM","0.011","0.008","0.005","0.004","0.82","12.5","24.1","30.5","27.1","9","14","8","6","6","61","108","108","31 July 2022","11:00"
"Civic","(-35.285399, 149.131536)","31/07/2022 11:00:00 AM",,"0.01","0.009","0.009",,"5.8","9","10.2","7.5",,,"10","11","14","20","30","30","31 July 2022","11:00"
"Monash","(-35.418302, 149.094018)","31/07/2022 10:00:00 AM","0.012","0.005","0.003","0.004","0.93","28.6","38.6","30.1","26.4","10","15","5","4","5","60","106","106","31 July 2022","10:00"
"Civic","(-35.285399, 149.131536)","31/07/2022 10:00:00 AM",,"0.009","0.008","0.009",,"4.1","7.1","10.2","7.4",,,"9","10","13","20","30","30","31 July 2022","10:00"
